ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,C_TYP_REG_SERVICE,L_TYP_REG_SERVICE,TONNAGE_DMA
2009,84,Auvergne-Rhône-Alpes,01,Ain,07A,Ordures ménagères résiduelles,02B,Incinération avec récupération d'énergie,"98575,13"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07A,Ordures ménagères résiduelles,02D,Stockage,"35633,56"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07E,Matériaux recyclables,02A,Valorisation matière,"61734,13"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07E,Matériaux recyclables,02E,Valorisation organique,"5460,17"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07E,Matériaux recyclables,02B,Incinération avec récupération d'énergie,"831,58"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07E,Matériaux recyclables,02D,Stockage,"42,20"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07E,Matériaux recyclables,02Z,Non précisé,"6,62"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07F,Déchets verts et biodéchets,02E,Valorisation organique,"45013,01"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07C,Encombrants,02A,Valorisation matière,"310,13"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07C,Encombrants,02B,Incinération avec récupération d'énergie,"13620,23"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07C,Encombrants,02D,Stockage,"20943,81"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07C,Encombrants,02Z,Non précisé,"87,72"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07D,Déchets dangereux (y.c. DEEE),02A,Valorisation matière,"3648,87"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07D,Déchets dangereux (y.c. DEEE),02B,Incinération avec récupération d'énergie,"2,25"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07D,Déchets dangereux (y.c. DEEE),02D,Stockage,"139,35"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07D,Déchets dangereux (y.c. DEEE),02F,Stockage pour inertes,"1,46"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07D,Déchets dangereux (y.c. DEEE),02Z,Non précisé,"936,07"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07B,Déblais et gravats,02A,Valorisation matière,"6194,71"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07B,Déblais et gravats,02D,Stockage,"11773,74"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07B,Déblais et gravats,02F,Stockage pour inertes,"9676,32"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07B,Déblais et gravats,02Z,Non précisé,"9947,94"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07Z,Autres,02A,Valorisation matière,"20,00"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07Z,Autres,02B,Incinération avec récupération d'énergie,"0,05"
2009,84,Auvergne-Rhône-Alpes,01,Ain,07Z,Autres,02D,Stockage,"59,21"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07A,Ordures ménagères résiduelles,02B,Incinération avec récupération d'énergie,"33016,14"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07A,Ordures ménagères résiduelles,02D,Stockage,"37287,33"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07A,Ordures ménagères résiduelles,02Z,Non précisé,"34878,90"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07E,Matériaux recyclables,02A,Valorisation matière,"24610,35"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07E,Matériaux recyclables,02E,Valorisation organique,"3397,79"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07E,Matériaux recyclables,02C,Incinération sans récupération d'énergie,"1,56"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07E,Matériaux recyclables,02D,Stockage,"28,25"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07E,Matériaux recyclables,02Z,Non précisé,"5587,84"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07F,Déchets verts et biodéchets,02A,Valorisation matière,"7247,86"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07F,Déchets verts et biodéchets,02E,Valorisation organique,"11991,50"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07C,Encombrants,02A,Valorisation matière,"469,92"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07C,Encombrants,02B,Incinération avec récupération d'énergie,"731,42"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07C,Encombrants,02D,Stockage,"11206,87"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07C,Encombrants,02Z,Non précisé,"1,02"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07D,Déchets dangereux (y.c. DEEE),02A,Valorisation matière,"1618,90"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07D,Déchets dangereux (y.c. DEEE),02B,Incinération avec récupération d'énergie,"3,68"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07D,Déchets dangereux (y.c. DEEE),02C,Incinération sans récupération d'énergie,"196,36"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07D,Déchets dangereux (y.c. DEEE),02D,Stockage,"27,36"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07D,Déchets dangereux (y.c. DEEE),02Z,Non précisé,"20,32"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07B,Déblais et gravats,02D,Stockage,"14065,94"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07B,Déblais et gravats,02F,Stockage pour inertes,"307,61"
2009,84,Auvergne-Rhône-Alpes,03,Allier,07Z,Autres,02A,Valorisation matière,"0,35"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07A,Ordures ménagères résiduelles,02E,Valorisation organique,"20833,41"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07A,Ordures ménagères résiduelles,02D,Stockage,"66946,29"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07A,Ordures ménagères résiduelles,02Z,Non précisé,"1308,72"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07E,Matériaux recyclables,02A,Valorisation matière,"32672,01"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07E,Matériaux recyclables,02E,Valorisation organique,"1384,89"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07E,Matériaux recyclables,02B,Incinération avec récupération d'énergie,"339,33"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07E,Matériaux recyclables,02C,Incinération sans récupération d'énergie,"0,00"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07E,Matériaux recyclables,02D,Stockage,"49,84"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07E,Matériaux recyclables,02Z,Non précisé,"9,15"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07F,Déchets verts et biodéchets,02E,Valorisation organique,"9659,77"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07F,Déchets verts et biodéchets,02B,Incinération avec récupération d'énergie,"422,07"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07F,Déchets verts et biodéchets,02Z,Non précisé,"0,10"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07C,Encombrants,02A,Valorisation matière,"1936,40"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07C,Encombrants,02B,Incinération avec récupération d'énergie,"60,08"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07C,Encombrants,02D,Stockage,"14591,87"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07D,Déchets dangereux (y.c. DEEE),02A,Valorisation matière,"994,16"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07D,Déchets dangereux (y.c. DEEE),02B,Incinération avec récupération d'énergie,"60,35"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07D,Déchets dangereux (y.c. DEEE),02C,Incinération sans récupération d'énergie,"5,31"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07D,Déchets dangereux (y.c. DEEE),02D,Stockage,"0,49"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,07D,Déchets dangereux (y.c. DEEE),02Z,Non précisé,"127,88"
